name,category,price,price_per_kg,amount_kg,is_available,product_menu_url
کود 20 20 20 NPK باواریا,کود NPK,4890000,4890000.0,1.0,True,
کود NPK 18 18 18 باواریا,کود NPK,4890000,4890000.0,1.0,True,
کود NPK 19 6 20 باواریا,کود NPK,4890000,4890000.0,1.0,True,
کود اولوشن 03 40 05 03 NPK فیتوناتورا,کود NPK,5200000,5200000.0,1.0,True,
کود اوره فسفات زیگلر,کود ماکرو,2380000,2380000.0,1.0,True,
کود 06 06 30 NPK میراکل,کود NPK,1550000,1550000.0,1.0,True,
کود 36 12 12 NPK باواریا,کود NPK,4890000,4890000.0,1.0,True,
کود اولوشن 20 20 20 فیتوناتورا,کود NPK,5304000,5304000.0,1.0,True,
کود NPK 10 52 10 کوالی مکس,کود NPK,,32000000.0,1.0,False,
کود سه بیست (NPK 20 20 20) کوالی مکس,کود NPK,29000000,29000000.0,1.0,True,
کود 10 52 10 NPK زیگلر آلمان,کود NPK,3960000,3960000.0,1.0,True,
کود NPK 11 53 05 اینترمگ,کود NPK,,52600000.0,1.0,False,
کود 36 12 12 NPK فرمولایف,کود NPK,28175000,28175000.0,1.0,True,
کود NPK 15 5 30 زیگلر,کود NPK,50030000,50030000.0,1.0,True,
کود هیومیک اسید پرک 70 درصد آبادیس,کود هیومیک اسید,,19320000.0,1.0,False,
کود رکتیفایر جنوبگان,کود اصلاح کننده آب و خاک,1060000,4240.0,250.0,True,
صابون محلول پاشی یونی جنوبگان,کود اصلاح کننده آب و خاک,1290000,1290000.0,1.0,True,
کود مایع بیورادیکانت اسپانیا,کود هیدروپونیک (نمکی),,7890000.0,1.0,False,
کود مونو پتاسیم فسفات (34 52 0) کوالی مکس,کود هیدروپونیک (نمکی),4130000,4130000.0,1.0,True,
کود مونو پتاسیم فسفات زیگلر,کود هیدروپونیک (نمکی),,3960000.0,1.0,False,
کود سولفات پتاسیم (51-0-0) زیگلر,کود هیدروپونیک (نمکی),2420000,2420000.0,1.0,True,
کود اولوشن 08 48 12 فیتوناتورا,کود ماکرو,5000000,5000000.0,1.0,True,
کود سولفات پتاسیم کوالی مکس,کود هیدروپونیک (نمکی),17000000,17000000.0,1.0,True,
کود آهن لایفر,کود میکرو (ریز مغذی),13639000,13639000.0,1.0,True,
